Year,Plot,Layer ,Pignatti_1982,Bartolucci et al_2024,spp_presence_cover 
2015,10,C,Carex macrolepis DC.,Carex macrolepis DC.,+
2015,10,C,Centaurea triumfettii All.,Centaurea triumfettii All.,+
2015,10,C,Cerastium arvense L. subsp. suffruticosum (L.) Nym.,Cerastium arvense L. subsp. suffruticosum (L.) Ces.,+
2015,10,C,Chamaecytisus hirsutus (L.) Link,Cytisus hirsutus L.,+
2015,10,C,Cuscuta epithymum (L.) L.,Cuscuta epithymum (L.) L. subsp. epithymum ,+
2015,10,C,Eryngium amethystinum L.,Eryngium amethystinum L.,+
2015,10,C,Festuca circummediterranea Patzke,Festuca circummediterranea Patzke,2
2015,10,C,Festuca inops De Not.,Festuca inops De Not.,+
2015,10,C,Galium corrudifolium Vill.,Galium corrudifolium Vill.,1
2015,10,C,Helianthemum canum (L.) Baumg. subsp. canum,Helianthemum oelandicum (L.) Dum.Cours. subsp. incanum (Willk.) G.López,+
2015,10,C,Helianthemum nummularium (L.) Mill. subsp. obscurum (Čelak.) Holub,Helianthemum nummularium (L.) Mill. subsp. obscurum (Čelak.) Holub,+
2015,10,C,Hieracium pilosella L.,Pilosella officinarum F.W.Schultz & Sch.Bip.,+
2015,10,C,Hypericum perforatum L. subsp. angustifolium (DC.) Gaudin,Hypericum perforatum L. subsp. veronense (Schrank) Ces.,+
2015,10,C,Koeleria macrantha (Ledeb.) Sprengel,Koeleria macrantha (Ledeb.) Schult. subsp. macrantha,+
2015,10,C,Koeleria splendens Presl,Koeleria splendens C.Presl,+
2015,10,C,Medicago lupulina L.,Medicago lupulina L.,+
2015,10,C,Melica ciliata L.,Melica ciliata L.,1
2015,10,C,Phleum ambiguum Ten.,Phleum hirsutum Honck. subsp. ambiguum (Ten.) Cif. & Giacom.,1
2015,10,C,Phleum bertolonii DC.,Phleum nodosum L.,+
2015,10,C,Rubus canescens DC.,Rubus canescens DC.,+
2015,10,C,Rubus ulmifolius Schott,Rubus ulmifolius Schott,+
2015,10,C,Scrophularia canina L.,Scrophularia canina L.,+
2015,10,C,Sedum album L.,Sedum album L. subsp. album,1
2015,10,C,Sedum rupestre L. subsp. rupestre,Petrosedum rupestre (L.) P.V.Heath,1
2015,10,C,Senecio doronicum L. subsp. gerardii (G. et G.) Nyman,Senecio apenninus Tausch,+
2015,10,C,Stachys officinalis (L.) Trevisan subsp. officinalis,Betonica officinalis L.,+
2015,10,C,Stachys recta L. subsp. recta,Stachys recta L. subsp. recta,1
2015,10,C,Teucrium chamaedrys L.,Teucrium chamaedrys L. subsp. chamaedrys,+
2015,10,C,Thymus longicaulis Presl,Thymus longicaulis C.Presl subsp. longicaulis,+
2015,10,C,Thymus sp.,Thymus sp.,+
2020,10,C,Acer obtusatum Waldst. & Kit.,Acer opalus Mill. subsp. obtusatum (Waldst. & Kit. ex Willd.) Gams,1
2020,10,C,Aethionema saxatile (L.) R. Br.,Aethionema saxatile (L.) W.T.Aiton,+
2020,10,C,Allium sphaerocephalon L.,Allium sphaerocephalon L. subsp. sphaerocephalon,+
2020,10,C,Anchusa barrelieri (All.) Vitman,Cynoglottis barrelieri (All.) Vural & Kit Tan subsp. barrelieri,+
2020,10,C,Anthemis tinctoria L.,Cota tinctoria (L.) J.Gay subsp. australis (R.Fern.) Oberpr. & Greuter,+
2020,10,C,Arabis hirsuta (L.) Scop.,Arabis hirsuta (L.) Scop.,+
2020,10,C,Arenaria serpyllifolia L.,Arenaria serpyllifolia L. subsp. serpyllifolia,+
2020,10,C,Asperula purpurea (L.) Ehrend.,Thliphthisa purpurea (L.) P.Caputo & Del Guacchio subsp. purpurea,+
2020,10,C,Brachypodium rupestre (Host) Roem. & Schult.,Brachypodium rupestre (Host) Roem. & Schult.,2
2020,10,C,Bromus erectus Huds.,Bromopsis erecta (Huds.) Fourr.,+
2020,10,C,Carex macrolepis DC.,Carex macrolepis DC.,+
2020,10,C,Cerastium arvense L. subsp. suffruticosum (L.) Nym.,Cerastium arvense L. subsp. suffruticosum (L.) Ces.,+
2020,10,C,Cuscuta epithymum (L.) L.,Cuscuta epithymum (L.) L. subsp. epithymum ,1
2020,10,C,Cytisus sessilifolius L.,Cytisophyllum sessilifolium (L.) O.Lang,2
2020,10,C,Eryngium amethystinum L.,Eryngium amethystinum L.,+
2020,10,C,Festuca circummediterranea Patzke,Festuca circummediterranea Patzke,1
2020,10,C,Festuca inops De Not.,Festuca inops De Not.,1
2020,10,C,Festuca nigrescens Lam. subsp. microphylla (St.-Yves) Mgf.-Dbg.,Festuca rubra L. subsp. commutata (Gaudin) Markgr.-Dann.,+
2020,10,C,Galium corrudifolium Vill.,Galium corrudifolium Vill.,+
2020,10,C,Helianthemum nummularium (L.) Mill. subsp. obscurum (Čelak.) Holub,Helianthemum nummularium (L.) Mill. subsp. obscurum (Čelak.) Holub,+
2020,10,C,Hieracium pilosella L.,Pilosella officinarum F.W.Schultz & Sch.Bip.,+
2020,10,C,Hypericum perforatum L. subsp. angustifolium (DC.) Gaudin,Hypericum perforatum L. subsp. veronense (Schrank) Ces.,+
2020,10,C,Koeleria macrantha (Ledeb.) Sprengel,Koeleria macrantha (Ledeb.) Schult. subsp. macrantha,1
2020,10,C,Koeleria splendens Presl,Koeleria splendens C.Presl,+
2020,10,C,Medicago lupulina L.,Medicago lupulina L.,+
2020,10,C,Melica ciliata L.,Melica ciliata L.,2
2020,10,C,Orobanche minor Sm.,Orobanche minor Sm.,+
2020,10,C,Phleum ambiguum Ten.,Phleum hirsutum Honck. subsp. ambiguum (Ten.) Cif. & Giacom.,1
2020,10,C,Prunus spinosa L.,Prunus spinosa L. subsp. spinosa,2
2020,10,C,Rosa canina L.,Rosa canina L.,1
2020,10,C,Rubus canescens DC.,Rubus canescens DC.,1
2020,10,C,Rubus ulmifolius Schott,Rubus ulmifolius Schott,+
2020,10,C,Sanguisorba minor Scop. subsp. muricata (Gremli) Briq.,Poterium sanguisorba L. subsp. balearicum (Bourg. ex Nyman) Stace,+
2020,10,C,Scrophularia canina L.,Scrophularia canina L.,+
2020,10,C,Sedum album L.,Sedum album L. subsp. album,+
2020,10,C,Sedum rupestre L. subsp. rupestre,Petrosedum rupestre (L.) P.V.Heath,+
2020,10,C,Senecio doronicum L. subsp. gerardii (G. et G.) Nyman,Senecio apenninus Tausch,1
2020,10,C,Silene italica (L.) Pers. subsp. italica,Silene italica (L.) Pers. subsp. italica,+
2020,10,C,Stachys recta L. subsp. recta,Stachys recta L. subsp. recta,+
2020,10,C,Tanacetum corymbosum var. tenuifolium (Willd.) Briq. et Cavill.,Tanacetum corymbosum (L.) Sch.Bip. subsp. achilleae (L.) Greuter,+
2020,10,C,Teucrium chamaedrys L.,Teucrium chamaedrys L. subsp. chamaedrys,+
2020,10,C,Thymus longicaulis Presl,Thymus longicaulis C.Presl subsp. longicaulis,+
2020,10,C,Thymus sp.,Thymus sp.,+
2020,10,C,Tragopogon pratensis L. subsp. orientalis (L.) Čelak.,Tragopogon orientalis L.,+
2020,10,C,Veronica arvensis L.,Veronica arvensis L.,+
2024,10,A,Acer obtusatum Waldst. & Kit.,Acer opalus Mill. subsp. obtusatum (Waldst. & Kit. ex Willd.) Gams,1
2024,10,B,Acer obtusatum Waldst. & Kit.,Acer opalus Mill. subsp. obtusatum (Waldst. & Kit. ex Willd.) Gams,1
2024,10,B,Cytisus sessilifolius L.,Cytisophyllum sessilifolium (L.) O.Lang,1
2024,10,B,Lonicera xylosteum L.,Lonicera xylosteum L.,+
2024,10,B,Prunus spinosa L.,Prunus spinosa L. subsp. spinosa,3
2024,10,B,Rosa canina L.,Rosa canina L.,2
